0000058 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362178 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000059 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362181 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x64000c0708) size: 60
0000060 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362185 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 90
0000061 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362189 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 90 ig: 0
0000062 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362192 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 90
0000063 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362195 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000064 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362199 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000065 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362202 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000066 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362206 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (4, 32762)
0000067 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362209 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 50 extent: (3, 1) 0x7ef53c1004c8
0000068 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362301 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000069 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362305 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x64001004c8) block: 0
0000070 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362309 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
