0000044 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679124 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2001804c8) size: 305040
0000045 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679128 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299400
0000046 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679131 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299400 ig: 0
0000047 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679135 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299400
0000048 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679139 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000049 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679142 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (9, 32757)
0000050 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679145 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (7, 2) 0x7f48382004c8
0000051 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679195 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2002004c8) size: 299400
0000052 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679199 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300900
0000053 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679202 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300900 ig: 0
0000054 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679206 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300900
0000055 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679209 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000056 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679212 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (11, 32755)
0000057 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679216 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (9, 2) 0x7f48382804c8
0000058 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679219 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2002804c8) size: 300900
0000059 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679222 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301560
0000060 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679226 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301560 ig: 0
0000061 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679229 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301560
0000062 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679232 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000063 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679236 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (13, 32753)
0000064 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679239 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (11, 2) 0x7f48383004c8
0000065 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2003004c8) size: 301560
0000066 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679246 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302760
0000067 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679249 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302760 ig: 0
0000068 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679252 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302760
0000069 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679256 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000070 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679259 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (15, 32751)
0000071 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679263 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (13, 2) 0x7f48383804c8
0000072 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679266 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2003804c8) size: 302760
0000073 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679269 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297570
0000074 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679272 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297570 ig: 0
