0000073 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675524 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300000
0000074 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300000 ig: 0
0000075 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675530 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300000
0000076 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675533 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000077 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (17, 32749)
0000078 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675541 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 25 extent: (15, 2) 0x7f5ee84004c8
0000079 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675544 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x32004004c8) size: 300000
0000080 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675547 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300060
0000081 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675550 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300060 ig: 0
0000082 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300060
