0000077 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223816 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000078 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223825 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000079 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223835 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x400080988) size: 30
0000080 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223844 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000081 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223854 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000082 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223864 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000c04c8) block: 1
0000083 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223873 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000084 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223882 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000085 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223891 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000086 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223899 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4000c0748) size: 60
0000087 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223911 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000c04c8) block: 2
0000088 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223917 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000089 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223927 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000090 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223935 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
