0000041 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222113 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222116 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000043 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222120 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (2, 1) 0x7f33f00c04c8
0000044 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222328 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000045 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222334 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000c04c8) block: 0
0000046 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222338 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222341 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000c0708) size: 60
0000048 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000049 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222349 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000050 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222352 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000051 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222390 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 1
0000052 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222398 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200080928) size: 30
0000054 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222401 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000055 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222405 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000056 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222408 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000057 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222412 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 2
