0000072 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742456 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000073 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742466 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000074 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742472 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3000080928) size: 30
0000075 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742483 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000804c8) block: 2
0000076 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742490 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000077 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742498 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000078 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742505 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000079 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742511 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3000080948) size: 30
0000080 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742517 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000081 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000082 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742535 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000c04c8) block: 3
0000083 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742543 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000084 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742548 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000085 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742558 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000086 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742564 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x30000c07c8) size: 60
0000087 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742575 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000804c8) block: 3
0000088 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742580 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000090 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742596 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000091 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742606 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000089 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742589 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000092 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742622 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3000080968) size: 30
0000094 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742629 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 90
0000095 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742637 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 90 ig: 0
0000096 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742647 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 90
0000093 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742624 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000804c8) block: 4
0000097 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742663 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000098 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742684 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3000080988) size: 30
