0000055 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336139 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c00080948) size: 30
0000056 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336147 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000057 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336158 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000058 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336172 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000804c8) block: 3
0000059 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336179 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000060 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336188 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000061 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336199 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000062 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336207 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c00080968) size: 30
0000063 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336218 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000804c8) block: 4
0000064 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336223 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000065 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336229 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000066 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336239 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000068 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336255 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000067 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336247 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c00080988) size: 30
0000069 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336264 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000804c8) block: 5
0000070 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336274 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000071 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336282 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000072 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336291 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000073 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336302 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c000809a8) size: 30
0000074 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336310 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000075 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336319 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000076 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336331 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000804c8) block: 6
0000077 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336338 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000078 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336346 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000079 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336355 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000080 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336363 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c000809c8) size: 30
0000081 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336375 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000082 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336385 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000083 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000084 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336404 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000085 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336414 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000086 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336422 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000087 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336433 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000088 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336446 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (2, 1) 0x7efbf40c04c8
0000089 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336781 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000090 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336789 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000c04c8) block: 0
