0000057 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259200 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000058 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259206 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000059 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259211 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000060 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259226 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000061 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259240 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000062 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259249 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000063 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259259 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000064 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259280 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 7 extent: (2, 1) 0x7f00fc0c04c8
0000065 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259479 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000066 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259491 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000c04c8) block: 0
0000067 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259499 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000068 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259511 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe000c0708) size: 60
0000069 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259514 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000c04c8) block: 1
0000070 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259521 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000071 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259541 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000072 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259548 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000073 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259553 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe000c0748) size: 60
0000074 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259564 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000075 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259571 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000076 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259579 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000804c8) block: 3
0000077 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259589 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000078 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259599 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000079 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259610 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000080 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259620 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe00080968) size: 30
0000081 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259634 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000c04c8) block: 2
0000082 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259644 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000083 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259654 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
