0000076 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299408 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000077 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299412 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a000809e8) size: 30
0000078 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299417 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000079 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299423 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000080 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299429 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000081 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299434 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000082 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299439 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000083 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299446 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000084 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299452 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000085 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299456 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 37 extent: (2, 1) 0x7f4dd80c04c8
0000086 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299912 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000087 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299923 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4a000c04c8) block: 0
0000088 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299927 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000089 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.299934 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a000c0708) size: 60
0000090 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329115 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000091 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329173 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000092 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329181 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
