0000049 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264221 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1000080928) size: 30
0000050 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264224 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000051 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264226 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000052 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264259 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000053 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264262 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000054 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264265 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000055 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264267 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000056 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264272 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000057 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264281 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000058 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264285 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 8 extent: (2, 1) 0x7ef783ec04c8
0000059 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264447 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
