0000050 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267436 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000051 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267493 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000804c8) block: 1
0000052 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267500 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267506 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1200080928) size: 30
0000054 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267513 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000055 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267518 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000056 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267524 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000057 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267531 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000804c8) block: 2
0000058 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000059 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267543 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1200080948) size: 30
0000060 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267549 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000061 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000062 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267560 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000063 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267565 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000804c8) block: 3
0000064 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267571 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000065 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267577 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1200080968) size: 30
0000066 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267584 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000067 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267589 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000068 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267595 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
