0001777 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243340 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2072404c8) size: 264900
0001778 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243347 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 289410
0001779 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243352 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 289410 ig: 0
0001780 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243358 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 289410
0001781 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0001782 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243369 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (460, 32306)
0001783 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243375 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (458, 2) 0x7e7cc7bdf4c8
0001784 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243383 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2072c04c8) size: 289410
0001785 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243388 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 239400
0001786 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 239400 ig: 0
0001787 | T.0x00007efcd1dec700 | 2019-06-21, 02:36:35.243399 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 239400
