0000058 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811502 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302700
0000059 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811505 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000060 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811509 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000061 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811512 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 19 extent: (5, 2) 0x7f8cd81804c8
0000062 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811515 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x26001804c8) size: 302700
0000063 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811519 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 304650
0000064 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811522 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 304650 ig: 0
0000065 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811526 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 304650
0000066 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811529 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000067 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811532 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (9, 32757)
0000068 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 19 extent: (7, 2) 0x7f8cd82004c8
