0000058 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149904 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1e002404c8) size: 348630
0000059 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149907 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 374730
0000060 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149910 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 374730 ig: 0
0000061 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149914 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 374730
0000062 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149917 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000063 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149920 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (12, 32754)
0000064 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149923 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 15 extent: (10, 2) 0x7f72382c04c8
0000065 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149927 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1e002c04c8) size: 374730
0000066 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149930 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 267450
0000067 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149934 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 267450 ig: 0
0000068 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149937 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 267450
0000069 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149940 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000070 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149943 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (14, 32752)
0000071 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149947 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 15 extent: (12, 2) 0x7f72383404c8
0000072 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149950 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1e003404c8) size: 267450
0000073 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149953 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 341700
0000074 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149957 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 341700 ig: 0
0000075 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149960 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 341700
0000076 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149963 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000077 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149967 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (16, 32750)
0000078 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149970 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 15 extent: (14, 2) 0x7f72383c04c8
0000079 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149973 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1e003c04c8) size: 341700
0000080 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149977 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299490
0000081 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149980 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299490 ig: 0
0000082 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149983 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299490
0000083 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149986 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000084 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149990 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (18, 32748)
0000085 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149993 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 15 extent: (16, 2) 0x7f72384404c8
0000086 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.149997 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1e004404c8) size: 299490
0000087 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150001 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 284130
0000088 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150004 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 284130 ig: 0
0000089 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150007 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 284130
0000090 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150010 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000091 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150013 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (20, 32746)
0000092 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150017 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 15 extent: (18, 2) 0x7f72384c04c8
0000093 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150020 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1e004c04c8) size: 284130
0000094 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150023 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 243060
0000095 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150027 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 243060 ig: 0
0000096 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150030 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 243060
0000097 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150033 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000098 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.150036 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (21, 32745)
