0000071 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738544 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (12, 2) 0x7f8c6c3404c8
0000072 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738547 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18003404c8) size: 265530
0000073 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738551 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 338940
0000074 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 338940 ig: 0
0000075 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 338940
0000076 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738560 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000077 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738564 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (16, 32750)
0000078 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738567 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (14, 2) 0x7f8c6c3c04c8
0000079 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738570 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18003c04c8) size: 338940
0000080 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738574 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 290970
0000081 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738577 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 290970 ig: 0
0000082 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738580 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 290970
0000083 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738584 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000084 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738587 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (18, 32748)
0000085 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738591 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (16, 2) 0x7f8c6c4404c8
0000086 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738594 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18004404c8) size: 290970
0000087 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738598 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 288000
0000088 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738601 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 288000 ig: 0
0000089 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738604 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 288000
