0000068 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898080 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 295740
0000069 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898083 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000070 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898087 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (15, 32751)
0000071 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898090 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 51 extent: (13, 2) 0x7fbbcd2ab4c8
0000072 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898093 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x66003804c8) size: 295740
0000073 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898096 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 303000
0000074 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898099 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 303000 ig: 0
0000075 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898102 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 303000
0000076 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898106 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000077 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898109 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (17, 32749)
0000078 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.898114 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 51 extent: (15, 2) 0x7fbbcd32b4c8
