0000084 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124145 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (15, 2) 0x7f44ac4004c8
0000085 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124149 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc004004c8) size: 302670
0000086 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124152 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299610
0000087 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124155 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299610 ig: 0
0000088 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124158 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299610
0000089 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124160 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000090 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124163 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (19, 32747)
0000091 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124167 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (17, 2) 0x7f44ac4804c8
0000092 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124170 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc004804c8) size: 299610
0000093 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124174 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302070
0000094 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124177 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302070 ig: 0
0000095 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124180 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302070
0000096 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124183 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000097 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124186 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (21, 32745)
0000098 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124190 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (19, 2) 0x7f44ac5004c8
0000099 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124193 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc005004c8) size: 302070
0000100 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124213 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299070
0000101 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124217 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299070 ig: 0
0000102 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124220 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299070
0000103 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124223 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000104 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124227 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (23, 32743)
0000105 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124230 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (21, 2) 0x7f44ac5804c8
0000106 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124233 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc005804c8) size: 299070
0000107 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124236 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297750
0000108 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124239 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297750 ig: 0
0000109 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297750
0000110 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124246 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000111 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124249 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (25, 32741)
0000112 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124253 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (23, 2) 0x7f44ac6004c8
0000113 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124257 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc006004c8) size: 297750
0000114 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124260 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300000
0000115 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124263 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300000 ig: 0
0000116 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124267 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300000
0000117 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124270 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000118 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124273 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (27, 32739)
0000119 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124276 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (25, 2) 0x7f44ac6804c8
0000120 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124280 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc006804c8) size: 300000
0000121 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124283 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298950
0000122 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124286 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298950 ig: 0
0000123 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124289 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298950
0000124 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124293 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000125 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124296 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (29, 32737)
0000126 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124299 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (27, 2) 0x7f44ac7004c8
0000127 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124302 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc007004c8) size: 298950
0000128 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124305 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297960
0000129 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124308 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297960 ig: 0
0000130 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124312 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297960
0000131 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124315 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000132 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124318 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (31, 32735)
0000133 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124321 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (29, 2) 0x7f44ac7804c8
0000134 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124324 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc007804c8) size: 297960
0000135 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124328 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300960
0000136 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124330 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300960 ig: 0
0000137 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124333 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300960
0000138 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124337 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000139 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124340 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (33, 32733)
0000140 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124343 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 6 extent: (31, 2) 0x7f44ac8004c8
0000141 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124346 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xc008004c8) size: 300960
0000142 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.124350 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297480
