0000075 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317444 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000c04c8) block: 0
0000076 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317454 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000077 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317463 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c000c0708) size: 60
0000078 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317470 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000079 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317473 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000080 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317482 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000081 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317490 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000c04c8) block: 1
0000082 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317495 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000083 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317502 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c000c0748) size: 60
0000084 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321156 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000085 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321222 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000086 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321228 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000087 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321241 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000404c8) block: 1
0000088 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321250 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000089 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321256 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c000406e8) size: 412
0000090 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321275 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000091 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321279 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000092 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321283 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000093 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321291 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000c04c8) block: 2
0000094 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321296 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000095 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321299 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c000c0788) size: 60
0000096 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321303 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000097 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321306 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000098 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321343 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000099 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321350 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 6
0000100 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321354 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000101 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321358 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c000809c8) size: 30
0000102 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321361 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000103 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321365 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000104 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321368 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000105 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321372 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000c04c8) block: 3
0000106 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321376 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000107 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321379 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c000c07c8) size: 60
0000108 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321383 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000109 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321386 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000110 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321389 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000111 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 7
0000112 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321397 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000113 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321400 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c000809e8) size: 30
0000114 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321404 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000115 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321407 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000116 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321411 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000117 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321414 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 8
0000118 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321418 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000119 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321421 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c00080a08) size: 30
0000120 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321425 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000121 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321428 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000122 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000123 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321435 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 9
0000124 | T.0x00007f93619ee700 | 2019-06-21, 02:20:34.321439 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
