0000044 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939168 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (2, 1) 0x7e857b7a44c8
0000045 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939169 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 214704
0000046 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939175 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000c04c8) size: 207942
0000047 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939180 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000048 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939186 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 208005
0000049 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939191 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (4, 32762)
0000050 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939196 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 208005 ig: 0
0000051 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939201 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (3, 1) 0x7e857b7e44c8
0000052 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939255 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 208005
0000053 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939260 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2001004c8) size: 214704
0000054 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939266 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000055 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939271 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 212520
0000056 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939276 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000057 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939280 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 212520 ig: 0
0000058 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939283 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (4, 1) 0x7e857b8244c8
0000059 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939285 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 212520
0000060 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939288 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2001404c8) size: 208005
0000061 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939291 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000062 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939294 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 211470
0000063 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939296 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (6, 32760)
0000064 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939298 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 211470 ig: 0
0000065 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939301 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (5, 1) 0x7e857b8644c8
0000066 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939303 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 211470
0000067 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939306 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2001804c8) size: 212520
0000068 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939308 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000069 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939311 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 210021
0000070 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939313 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000071 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939316 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 210021 ig: 0
0000072 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939318 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (6, 1) 0x7e857b8a44c8
0000073 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939320 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 210021
0000074 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939324 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2001c04c8) size: 211470
0000075 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939326 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
