0000078 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740749 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000079 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740752 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000080 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740755 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000081 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740759 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000c04c8) block: 1
0000082 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740763 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000083 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740766 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e000c0748) size: 60
0000084 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231409 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000085 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231463 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000086 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231471 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000087 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231483 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000404c8) block: 1
0000088 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231490 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000089 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231496 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e000406e8) size: 412
0000090 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231510 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000091 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231514 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000092 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231518 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000093 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231523 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 6
0000094 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000095 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231530 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e000809c8) size: 30
0000096 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231534 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000097 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000098 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231571 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000099 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231574 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 7
0000100 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231579 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000101 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231582 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e000809e8) size: 30
0000102 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231586 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000103 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231590 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000104 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231593 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000105 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231598 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000c04c8) block: 2
0000106 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231602 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000107 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231605 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e000c0788) size: 60
0000108 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231609 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000109 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231613 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000110 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231616 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000111 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231625 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 8
0000112 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231629 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000113 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231632 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080a08) size: 30
0000114 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231635 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000115 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231639 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000116 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231642 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000117 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231646 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 9
0000118 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231649 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000119 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231652 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080a28) size: 30
0000120 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231656 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000121 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231659 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000122 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231662 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000123 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231666 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000c04c8) block: 3
0000124 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231670 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000125 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231673 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e000c07c8) size: 60
0000126 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231677 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000127 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231680 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000128 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000129 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231687 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 10
0000130 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231690 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000131 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231694 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080a48) size: 30
0000132 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231698 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000133 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231701 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000134 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231704 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000135 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231707 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 11
0000136 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231711 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000137 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:17.231714 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080a68) size: 30
