0000052 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326752 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 2
0000053 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326757 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000054 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326762 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000055 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326767 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000056 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326772 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080948) size: 30
0000057 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326777 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000058 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326782 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000059 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326787 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000060 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326792 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000061 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326796 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000062 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326802 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000063 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326808 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000064 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326814 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (2, 1) 0x7f5f440c04c8
