0000080 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543769 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 207900
0000081 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543772 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 207900 ig: 0
0000082 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543776 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 207900
0000083 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543779 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000084 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543782 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (10, 32756)
0000085 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543785 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (9, 1) 0x7faacc2804c8
0000086 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543789 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c002804c8) size: 207900
0000087 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543793 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 205968
0000088 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543796 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 205968 ig: 0
0000089 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543799 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 205968
0000090 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543802 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000091 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543806 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (11, 32755)
0000092 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543809 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (10, 1) 0x7faacc2c04c8
0000093 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543812 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c002c04c8) size: 205968
0000094 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543816 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 213465
0000095 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543819 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 213465 ig: 0
0000096 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543822 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 213465
0000097 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543825 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000098 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543829 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (12, 32754)
0000099 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543832 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (11, 1) 0x7faacc3004c8
0000100 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543850 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c003004c8) size: 213465
0000101 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543853 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 210924
0000102 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543856 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 210924 ig: 0
0000103 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543860 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 210924
0000104 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543863 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000105 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543867 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (13, 32753)
0000106 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543871 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (12, 1) 0x7faacc3404c8
0000107 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543874 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c003404c8) size: 210924
0000108 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543878 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 209601
0000109 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543881 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 209601 ig: 0
0000110 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543884 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 209601
0000111 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543887 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000112 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543890 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (14, 32752)
0000113 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543894 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (13, 1) 0x7faacc3804c8
0000114 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543897 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c003804c8) size: 209601
0000115 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543900 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 207459
