0000044 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712618 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000045 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712623 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2c000c04c8) block: 0
0000046 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712628 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712631 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2c000c0908) size: 30
0000048 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712634 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000049 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712638 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000050 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712641 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000051 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712668 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2c000c04c8) block: 1
0000052 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712672 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712675 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2c000c0928) size: 30
0000054 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712679 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000055 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000056 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712687 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000057 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712690 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2c000c04c8) block: 2
0000058 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712694 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000059 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712697 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2c000c0948) size: 30
0000060 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712701 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000061 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712704 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000062 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712707 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
