0000044 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991610 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x16001804c8) size: 335220
0000045 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991614 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 246180
0000046 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991617 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 246180 ig: 0
0000047 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991621 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 246180
0000048 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991624 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000049 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991627 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (8, 32758)
0000050 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991631 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 11 extent: (7, 1) 0x7f2fe82004c8
0000051 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991703 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x16002004c8) size: 246180
0000052 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991708 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 351510
0000053 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991711 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 351510 ig: 0
0000054 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991714 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 351510
0000055 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991717 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
