0000048 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228383 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000049 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228386 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000050 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228389 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000051 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228426 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x8000804c8) block: 3
0000052 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228430 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228434 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x800080968) size: 30
0000054 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228438 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000055 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228441 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000056 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228444 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000057 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228448 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000058 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228451 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000059 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228454 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000060 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228458 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000061 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228461 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (2, 1) 0x7e84e40c04c8
